Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
ALB,205952.1,liver protein (all 3),liver: 205952.1,Cluster 31: Liver - Plasma proteins
HP,54575.6,liver protein (all 3),liver: 54575.6,Cluster 31: Liver - Plasma proteins
ORM1,41892.9,liver protein (all 3),liver: 41892.9,Cluster 31: Liver - Plasma proteins
SAA2,35358.8,liver protein (nTPM + cluster),liver: 35358.8,Cluster 83: Liver - Metabolism
APOA2,34742.6,liver protein (all 3),liver: 34742.6,Cluster 31: Liver - Plasma proteins
SERPINA1,33156.1,liver protein (all 3),liver: 33156.1,Cluster 83: Liver - Metabolism
APOC3,26980.2,liver protein (all 3),liver: 26980.2,Cluster 31: Liver - Plasma proteins
APOA1,18779.1,liver protein (all 3),liver: 18779.1,Cluster 83: Liver - Metabolism
FGA,17848.7,liver protein (all 3),liver: 17848.7,Cluster 31: Liver - Plasma proteins
APOH,17409.3,liver protein (all 3),liver: 17409.3,Cluster 31: Liver - Plasma proteins
FGB,17393.5,liver protein (all 3),liver: 17393.5,Cluster 31: Liver - Plasma proteins
APOC1,17322.1,liver protein (all 3),liver: 17322.1,Cluster 83: Liver - Metabolism
FGG,16058.1,liver protein (all 3),liver: 16058.1,Cluster 31: Liver - Plasma proteins
FTL,14070.0,liver protein (nTPM + cluster),liver: 14070.0,Cluster 11: Liver - Plasma proteins
FABP1,12622.4,liver protein (nTPM + cluster),intestine: 5302.5;liver: 12622.4,Cluster 37: Liver & Intestine - Lipid metabolism
ALDOB,10855.3,liver protein (all 3),intestine: 6181.0;kidney: 6911.1;liver: 10855.3,Cluster 37: Liver & Intestine - Lipid metabolism
RBP4,10726.7,liver protein (all 3),liver: 10726.7,Cluster 83: Liver - Metabolism
AMBP,10607.0,liver protein (all 3),liver: 10607.0,Cluster 31: Liver - Plasma proteins
CYP2E1,10050.5,liver protein (all 3),liver: 10050.5,Cluster 31: Liver - Plasma proteins
