Gene,liver_nTPM_value
GLOD5,7.9
ESPN,125.7
SCD,566.0
PHYH,647.3
SLC31A1,104.2
ABCC3,49.1
UGT1A9,190.3
SLC43A1,125.5
ECI2,409.6
UGT2B17,107.8
DHRS3,315.8
BBOX1,127.9
ABLIM3,112.9
AKR7A3,150.8
STBD1,126.4
GOT2,311.8
CD4,148.3
SERPINA5,761.5
PCCB,195.7
P4HB,1810.7
FH,262.0
ABHD2,133.5
QDPR,190.7
FURIN,298.0
CLU,9442.3
ACADM,356.4
ALAD,203.4
ETFA,253.9
PFKFB1,49.0
IGFBP3,693.4
GGT1,113.1
IL32,808.7
AZGP1,2718.3
ACADL,27.2
PBLD,324.3
PEBP1,2019.1
SLC6A1,85.4
GCH1,35.8
SRD5A2,59.0
GK,69.4
CDA,84.0
ACSL1,1108.8
UGT1A3,66.0
CBS,170.6
HSD17B2,211.1
ETFB,481.4
BTD,97.0
AMT,47.9
GLUD2,3.8
GATM,2717.9
TPMT,66.7
ALDH5A1,95.8
ARSL,88.3
SLC7A2,171.5
FOXA3,62.6
HSD17B7,32.8
MT1X,3931.5
PLIN5,197.2
ACY1,266.7
IQGAP2,109.8
SNTB1,86.7
GAMT,600.1
GRB14,30.2
GNMT,287.5
HEPACAM,15.5
QPRT,179.0
DHCR24,604.8
ETFDH,154.4
DECR1,265.6
UGP2,832.1
TMEM97,109.8
AKR1C8,7.0
IDNK,68.3
MLIP,123.9
TMEM53,58.0
UGT2A3,12.9
SLC39A5,167.0
PIK3AP1,80.7
ADAMTSL2,35.0
SLC25A42,80.0
LDHD,132.2
LSR,141.2
ADHFE1,30.4
CLYBL,103.5
TTC39C,91.9
CISD2,44.9
CHDH,34.9
ETNPPL,185.1
SFXN5,28.5
FGGY,75.2
CMBL,166.8
ASB9,16.9
MMAB,101.1
PDXP,72.7
PEX11G,25.8
ACY3,33.0
REEP6,388.3
SCLY,38.1
MIA2,131.0
PCYT2,161.7
RARRES2,1945.9
TACO1,67.5
RTKN,121.6
PHAF1,55.9
ABHD6,62.9
AMN,36.9
TRIM55,36.8
BCO2,50.7
RAB17,104.2
C11orf54,250.6
SLC25A18,108.8
GBA3,218.9
RBKS,45.0
SMOC1,66.2
CIAO2A,254.3
MAGIX,18.6
PDF,27.1
SDF2L1,165.7
ACOT13,29.7
GPRC5C,188.1
PEMT,260.8
AASS,43.0
SEC14L3,2.8
CACFD1,57.2
SLC23A1,21.9
MSRA,62.4
SARDH,76.3
OGDHL,77.6
BOK,94.7
CRYL1,246.3
GDA,58.8
PSAT1,259.7
