Gene,liver_nTPM_value
TMEM82,51.5
C1orf226,21.4
FUOM,222.7
C2orf72,18.2
ASPDH,129.3
PALM3,54.4
SOWAHB,18.6
GLTPD2,72.0
TTC36,166.0
PPP1R3G,6.0
SMLR1,54.9
PGRMC1,656.9
CES2,335.1
HSD17B6,1748.9
APOL1,174.5
SLC27A2,279.4
AGPAT2,434.1
KMO,88.8
SLC22A1,594.8
CYP26A1,17.4
AQP9,681.6
GSTZ1,254.8
SLC25A20,143.9
MYO1B,247.8
SLC37A4,136.5
GAS2,38.5
UGDH,133.5
XYLB,32.4
ENTPD5,255.6
RDH16,768.9
ERLIN1,110.6
FCN3,270.1
SC5D,381.7
IDH1,520.1
CYP7B1,20.8
ALDH1L1,358.6
MPDZ,83.1
SEC14L2,236.2
SLCO2B1,222.4
ABCC6,45.9
ABCB11,78.1
APOM,381.2
H6PD,92.1
VNN1,212.1
CLDN1,300.6
FTCD,917.4
CYB5A,2392.7
ADH1B,5678.8
ADH1C,1997.6
ALDH1A1,1455.3
GLUD1,892.0
PAH,1365.3
SOD1,1594.4
CP,1815.4
OTC,366.1
F2,1180.6
C1R,1390.1
HP,54575.6
HPR,786.9
F9,683.7
F10,156.1
PLG,2571.0
F12,589.9
CFB,2453.1
ASS1,1978.3
SERPINC1,4902.3
SERPINA1,33156.1
SERPINA3,8942.3
AGT,1563.6
A2M,1212.9
C3,5250.9
C5,434.4
KNG1,3097.3
APOA1,18779.1
APOE,6430.8
APOA2,34742.6
APOC1,17322.1
APOC2,9320.5
APOC3,26980.2
FGA,17848.7
FGB,17393.5
FGG,16058.1
CRP,9151.6
APCS,3515.6
C9,1268.7
APOH,17409.3
LRG1,920.6
FN1,1674.5
RBP4,10726.7
AMBP,10607.0
ORM1,41892.9
AHSG,5638.7
ALB,205952.1
GC,8007.3
TF,7278.6
HPX,5126.7
FTL,14070.0
MT2A,5644.8
ANG,2920.4
F11,235.6
KLKB1,318.1
C4BPA,1860.6
VTN,5852.0
HMGCR,102.6
CAT,1180.2
APOB,1155.6
LCAT,276.1
HRG,5270.7
A1BG,1194.2
ASL,386.7
MT1A,420.0
MT1E,1743.2
MT1F,548.2
CYP1A1,64.1
ALDOB,10855.3
ARG1,1166.8
ALDH2,831.4
SERPING1,2545.7
CFI,952.1
F13B,194.1
CYP1A2,495.9
CYP2E1,10050.5
SERPINA7,273.6
SERPIND1,1214.6
HPN,845.2
UGT2B4,1234.7
BCHE,508.2
C2,466.0
PYGL,141.3
EPHX1,1652.5
FABP1,12622.4
PROS1,274.9
ASGR1,1065.6
ASGR2,819.9
ADH1A,2653.7
C8A,481.7
C8B,630.0
C8G,550.5
GALT,45.9
GJB1,376.0
SERPINA6,752.4
GSTA1,2530.1
ADH4,4994.3
LPA,74.5
CD14,347.3
MET,41.6
CFH,1645.3
CYP3A4,3492.7
SERPINF2,1539.8
F7,156.3
ACAA1,638.8
GSTA2,1994.3
FBP1,849.4
GSTM1,590.7
C1S,2762.6
C4A,328.2
C4B,375.4
ELFN1,14.2
SAA2,35358.8
AR,37.1
MGST1,3006.2
CYP2C8,2088.7
CYP2D6,312.1
TFPI,263.9
GHR,206.8
LIPC,165.9
SLC2A2,810.6
MBL2,272.6
NAT2,124.6
PC,144.3
CYP2A6,1564.1
MTHFD1,330.3
CYP2C9,1667.6
F5,171.0
ALAS1,532.3
MT1G,6693.8
C6,610.3
FDPS,344.6
DAO,145.1
CPN1,79.5
ST6GAL1,480.8
ACADS,239.5
POR,303.8
MGMT,87.1
UGT2B7,1563.0
FAH,293.4
AKR1C4,695.1
TAT,1233.9
GPX2,561.9
SRD5A1,28.1
LBP,1304.6
SDC1,472.9
UGT1A6,139.1
ORM2,8652.9
ITIH2,2091.1
ITIH1,1459.7
SDS,999.5
PZP,79.0
CYP2B6,570.5
CYP3A5,269.4
HNF1A,10.9
EFNA1,461.3
C4BPB,458.6
PTMS,551.5
ACO1,130.5
ABCB4,119.4
AGXT,2145.9
BCKDHB,75.9
MMUT,193.0
SCP2,1081.6
UGT1A1,314.0
UGT1A4,381.5
AADAC,917.3
CPN2,212.0
PROZ,106.6
CES1,2440.5
GLDC,169.3
CPT2,88.3
GPT,175.3
ACAT1,939.5
MPST,381.2
MST1,905.4
AK4,99.2
PON1,516.3
MAOB,308.0
ABCD3,122.8
ADH6,682.3
HSD11B1,938.4
SERPINA4,533.2
ALDH4A1,426.0
DDT,815.7
GCHFR,341.6
ECHS1,1093.7
PPP2R1B,166.5
AGTR1,93.7
PKLR,89.7
ALDH1B1,167.4
CPS1,1031.6
SDC4,398.7
FMO4,59.4
FMO3,1088.9
GBP1,85.5
HPD,2452.6
CTH,119.2
CYP2C18,191.1
CYP2C19,184.6
MAN1A1,150.0
RNASE4,463.8
SDC2,445.9
SHMT1,388.8
SHMT2,177.8
EPHX2,322.9
CA5A,23.5
SAA4,1879.5
GCK,17.8
PCK1,664.7
IGFALS,113.8
HMGCL,314.7
SLC16A2,39.5
UGT2B10,226.6
CFHR2,1309.3
GGCX,104.6
COL18A1,548.3
NNMT,379.3
HNF4A,114.2
HAL,193.3
ACAA2,981.1
AFM,932.0
ACADSB,349.2
HAAO,286.8
GCGR,165.5
XDH,66.4
SLC6A12,70.7
LEPR,126.5
GCLC,147.6
GCLM,47.0
MASP1,178.0
TDO2,767.4
FMO5,662.6
ALDH7A1,157.3
TTPA,160.0
CEBPA,190.1
SULT1E1,36.0
DIO1,179.7
SELENOP,6077.3
MTHFS,247.1
KHK,179.8
HNMT,238.2
SULT1A1,221.4
SULT1A2,48.9
GALK1,123.3
CYP2J2,141.8
ALDH3A2,279.3
HSD17B4,320.3
AKR1D1,413.9
RIDA,1488.9
AKR1C2,469.5
SLC25A1,192.9
GYS2,168.6
UGT2B15,282.4
HMGCS2,2359.8
APOC4,607.5
TMBIM6,1748.2
INHBC,159.9
MTTP,258.5
ADK,146.5
PCBD1,415.8
CYP4F2,161.6
GSTO1,636.8
GPLD1,44.7
MT1H,1109.0
ABAT,335.3
RBP5,316.3
MAT1A,1305.8
SORD,262.8
HMGCS1,379.0
DHODH,103.2
ALDH6A1,355.6
CYP27A1,576.0
BDH1,313.1
CYP4A11,824.3
CFHR3,381.0
MVK,56.7
CFHR1,2010.5
HGFAC,211.9
AKR1C1,603.1
ITIH3,828.4
AOX1,864.2
SULT2A1,1043.0
CRYZ,274.1
EHHADH,334.1
CYP4F3,230.0
FGL1,4058.4
ACSM2A,351.8
DPYD,66.4
SPP2,502.9
APOF,404.0
BAAT,699.4
DPYS,463.1
GCKR,133.1
HABP2,424.0
PDIA5,77.8
ITPR2,43.0
ITIH4,1807.4
PTGR1,576.1
SLC10A1,413.9
SLC39A14,537.7
ACOX1,117.5
EBP,318.4
PON3,598.0
FCN2,96.6
RGN,372.1
MSMO1,558.3
UAP1,97.4
KYNU,85.7
TST,547.5
PCK2,365.0
CYP51A1,196.0
EXOC3L4,40.1
SHROOM1,114.0
TKFC,112.3
TMEM176B,1609.3
NADK2,318.2
ACSM3,172.5
LACTB2,93.0
COBLL1,104.4
ENTPD8,14.1
TTC38,227.9
GRTP1,81.8
CYP4A22,207.4
PXDC1,164.6
MTARC1,82.5
C1orf53,14.7
AFMID,169.0
STEAP3,184.9
CREB3L3,405.1
ACSM2B,510.9
GLYAT,676.1
GRAMD4,164.1
SLC25A25,133.2
ACSM5,268.1
UGT3A1,56.2
ARMC6,107.9
APOA5,567.7
TMEM220,100.5
CES3,51.2
CLEC4G,52.9
NAPRT,61.5
SLC30A10,33.7
FRRS1,27.7
AGMO,118.6
GOLT1A,186.0
CYP4V2,110.0
ACAD11,100.5
RAPH1,59.7
SLC46A3,93.1
DCXR,1806.9
HSD17B13,556.3
ADGRG6,69.7
ACOT1,43.2
ASPG,147.4
SERPINA11,475.6
OAF,387.0
SLC9B2,37.5
RTN4RL2,39.7
BPHL,82.0
PROSER2,40.0
HOGA1,53.5
PPP1R3B,140.3
ECHDC2,170.1
RAB43,45.8
SLC13A5,403.8
TMPRSS6,125.3
MMAA,23.7
SLC22A9,44.9
GLYCTK,268.5
CD302,188.0
THNSL1,20.7
ORMDL3,228.8
ABCA6,75.6
NAGS,47.0
SLC66A2,180.9
MT1M,548.4
ZGPAT,120.6
AADAT,65.0
TMEM86B,16.3
GBP7,97.1
ACOT4,16.2
ATP11C,47.0
SLC43A3,143.2
HSD17B11,234.5
ACBD4,90.7
CLRN3,77.4
CHST13,58.1
ANGPTL6,29.4
PI4K2B,56.1
ACMSD,157.5
PANK1,106.9
NSUN6,59.3
TSKU,230.2
TNFAIP8L1,33.3
SPRYD4,20.0
OIT3,107.5
ACOT12,97.6
LPIN2,146.5
RDH5,57.1
PROX1,84.2
GGH,183.1
ABCC2,118.0
GCDH,86.9
PRG4,180.2
ART4,51.6
BHMT,1107.8
HGD,729.7
GLYATL1,527.0
SLC38A4,591.5
MTARC2,216.4
ISOC2,277.3
DCPS,49.1
ECHDC3,157.6
GNPNAT1,74.8
MOCOS,15.6
SLC47A1,100.6
CERS2,709.3
SDSL,102.1
FAHD2A,112.0
TMEM176A,1133.6
DHTKD1,125.5
SUCLG2,269.6
CPB2,1439.0
SEC16B,40.0
DHRS1,59.4
FAM20A,49.0
TLCD4,126.0
UROC1,113.9
RUNDC3B,5.8
AMDHD1,59.2
PGLYRP2,250.7
DGAT2,321.2
NR1H4,116.9
ACOX2,171.9
PLIN2,877.8
SEPHS2,390.4
SLC38A3,321.4
SIGMAR1,182.9
MGST2,380.5
NIPSNAP1,282.9
VKORC1,443.7
RTP3,115.0
AGMAT,60.1
TTPAL,28.0
ADI1,572.8
SELENOO,27.2
ACAT2,224.4
COLEC11,139.6
APOL6,45.1
PLA2G12B,68.8
CFHR5,162.0
PECR,155.2
AGXT2,119.7
DNAJC25,31.1
ABCG8,61.9
ALDH8A1,239.6
SLC26A1,16.4
HSD3B7,133.1
BHMT2,416.7
CLEC4M,60.8
LIME1,237.0
ACSS3,38.8
EVA1A,185.1
SFXN1,96.6
SUGCT,27.6
CDHR5,126.6
CYP4F11,70.5
MCCC2,113.6
GPAM,139.8
CYP4F12,39.2
SEPSECS,25.3
APMAP,306.2
MLXIPL,595.0
SLCO1B3,256.8
IL1RAP,218.9
A1CF,148.5
RPRD1B,70.7
NIT2,25.6
GPHN,60.9
PXMP2,304.4
SLC2A9,20.7
SLC35D1,72.5
DECR2,161.0
SHFL,73.8
ETNK2,227.8
PNPO,86.0
AIG1,228.2
CYP39A1,96.3
HAO2,412.4
C1RL,138.4
MSRB1,228.5
PIPOX,491.1
CLEC1B,77.6
IGSF9,24.2
DHCR7,157.1
GRHPR,632.6
UPB1,210.8
SLC25A10,178.9
SEC14L4,18.7
MARCO,92.1
PRODH2,169.4
FETUB,227.3
CIDEB,464.9
AMACR,173.8
DMGDH,275.3
GLS2,198.8
HAO1,589.2
SLC25A13,145.5
SERPINA10,338.3
DNAJC12,65.4
PCTP,95.0
ACSL5,165.4
CYP8B1,392.2
TFR2,337.4
MGAT4B,270.4
GNE,87.8
ST3GAL6,40.8
SLC27A5,999.1
RCL1,238.1
DERA,101.4
STARD10,692.6
MMACHC,16.8
ANGPTL3,655.3
SLC25A15,85.5
SLC22A7,417.7
SLCO1B1,521.0
SLC30A1,83.6
COLEC10,63.7
