Gene,liver_nTPM_value
C1orf226,21.4
PALM3,54.4
GLTPD2,72.0
PPP1R3G,6.0
KMO,88.8
CYP26A1,17.4
ABCB11,78.1
H6PD,92.1
MET,41.6
PZP,79.0
HNF1A,10.9
AGTR1,93.7
GBP1,85.5
CA5A,23.5
GCLM,47.0
MVK,56.7
FCN2,96.6
UAP1,97.4
KYNU,85.7
EXOC3L4,40.1
LACTB2,93.0
GRTP1,81.8
UGT3A1,56.2
NAPRT,61.5
FRRS1,27.7
SLC46A3,93.1
ADGRG6,69.7
ACOT1,43.2
RTN4RL2,39.7
PROSER2,40.0
RAB43,45.8
NAGS,47.0
TMEM86B,16.3
ACOT4,16.2
NSUN6,59.3
PROX1,84.2
DCPS,49.1
MOCOS,15.6
SEC16B,40.0
FAM20A,49.0
AGMAT,60.1
TTPAL,28.0
SELENOO,27.2
APOL6,45.1
CLEC4M,60.8
ACSS3,38.8
SEPSECS,25.3
RPRD1B,70.7
SLC2A9,20.7
SHFL,73.8
IGSF9,24.2
SEC14L4,18.7
DNAJC12,65.4
ST3GAL6,40.8
MMACHC,16.8
SLC25A15,85.5
SLC30A1,83.6
