Gene,liver_nTPM_value
GLOD5,7.9
ESPN,125.7
PHYH,647.3
SLC31A1,104.2
UGT1A9,190.3
ECI2,409.6
BBOX1,127.9
AKR7A3,150.8
GOT2,311.8
SERPINA5,761.5
PCCB,195.7
FH,262.0
QDPR,190.7
CLU,9442.3
ACADM,356.4
ALAD,203.4
ETFA,253.9
PFKFB1,49.0
IGFBP3,693.4
AZGP1,2718.3
ACADL,27.2
PBLD,324.3
PEBP1,2019.1
SLC6A1,85.4
SRD5A2,59.0
ACSL1,1108.8
ETFB,481.4
AMT,47.9
GLUD2,3.8
GATM,2717.9
ALDH5A1,95.8
ACY1,266.7
SNTB1,86.7
GAMT,600.1
GRB14,30.2
GNMT,287.5
HEPACAM,15.5
QPRT,179.0
DHCR24,604.8
ETFDH,154.4
DECR1,265.6
UGP2,832.1
AKR1C8,7.0
IDNK,68.3
TMEM53,58.0
SLC39A5,167.0
ADAMTSL2,35.0
LDHD,132.2
ADHFE1,30.4
CLYBL,103.5
SFXN5,28.5
FGGY,75.2
CMBL,166.8
ASB9,16.9
MMAB,101.1
PEX11G,25.8
ACY3,33.0
REEP6,388.3
PCYT2,161.7
TACO1,67.5
C11orf54,250.6
GBA3,218.9
CIAO2A,254.3
ACOT13,29.7
PEMT,260.8
SEC14L3,2.8
MSRA,62.4
SARDH,76.3
OGDHL,77.6
BOK,94.7
CRYL1,246.3
