Gene,liver_nTPM_value
FUOM,222.7
ASPDH,129.3
TTC36,166.0
PGRMC1,656.9
CES2,335.1
HSD17B6,1748.9
SLC27A2,279.4
SLC22A1,594.8
AQP9,681.6
GSTZ1,254.8
MYO1B,247.8
ENTPD5,255.6
RDH16,768.9
FCN3,270.1
SC5D,381.7
IDH1,520.1
ALDH1L1,358.6
SEC14L2,236.2
SLCO2B1,222.4
APOM,381.2
FTCD,917.4
CYB5A,2392.7
ADH1B,5678.8
ADH1C,1997.6
ALDH1A1,1455.3
GLUD1,892.0
PAH,1365.3
SOD1,1594.4
CP,1815.4
OTC,366.1
F2,1180.6
C1R,1390.1
HP,54575.6
HPR,786.9
F9,683.7
F10,156.1
PLG,2571.0
F12,589.9
CFB,2453.1
SERPINC1,4902.3
SERPINA1,33156.1
AGT,1563.6
A2M,1212.9
C3,5250.9
C5,434.4
KNG1,3097.3
APOA1,18779.1
APOE,6430.8
APOA2,34742.6
APOC1,17322.1
APOC3,26980.2
FGA,17848.7
FGB,17393.5
FGG,16058.1
APCS,3515.6
C9,1268.7
APOH,17409.3
RBP4,10726.7
AMBP,10607.0
ORM1,41892.9
AHSG,5638.7
ALB,205952.1
GC,8007.3
TF,7278.6
HPX,5126.7
ANG,2920.4
F11,235.6
KLKB1,318.1
C4BPA,1860.6
VTN,5852.0
CAT,1180.2
APOB,1155.6
LCAT,276.1
HRG,5270.7
ALDOB,10855.3
ALDH2,831.4
SERPING1,2545.7
CFI,952.1
F13B,194.1
CYP1A2,495.9
CYP2E1,10050.5
SERPINA7,273.6
SERPIND1,1214.6
UGT2B4,1234.7
BCHE,508.2
C2,466.0
PYGL,141.3
EPHX1,1652.5
PROS1,274.9
ASGR2,819.9
ADH1A,2653.7
C8A,481.7
C8B,630.0
GJB1,376.0
SERPINA6,752.4
GSTA1,2530.1
ADH4,4994.3
CD14,347.3
CFH,1645.3
CYP3A4,3492.7
SERPINF2,1539.8
F7,156.3
ACAA1,638.8
GSTA2,1994.3
C1S,2762.6
C4A,328.2
C4B,375.4
CYP2C8,2088.7
GHR,206.8
LIPC,165.9
SLC2A2,810.6
MBL2,272.6
PC,144.3
CYP2A6,1564.1
MTHFD1,330.3
CYP2C9,1667.6
F5,171.0
C6,610.3
DAO,145.1
ST6GAL1,480.8
ACADS,239.5
UGT2B7,1563.0
FAH,293.4
AKR1C4,695.1
ORM2,8652.9
ITIH2,2091.1
ITIH1,1459.7
CYP2B6,570.5
CYP3A5,269.4
PTMS,551.5
ACO1,130.5
AGXT,2145.9
MMUT,193.0
SCP2,1081.6
UGT1A1,314.0
UGT1A4,381.5
CPN2,212.0
PROZ,106.6
CES1,2440.5
GPT,175.3
ACAT1,939.5
MPST,381.2
PON1,516.3
MAOB,308.0
ADH6,682.3
SERPINA4,533.2
ALDH4A1,426.0
ECHS1,1093.7
ALDH1B1,167.4
FMO3,1088.9
HPD,2452.6
CYP2C18,191.1
CYP2C19,184.6
MAN1A1,150.0
RNASE4,463.8
SDC2,445.9
SHMT1,388.8
EPHX2,322.9
SAA4,1879.5
IGFALS,113.8
HMGCL,314.7
UGT2B10,226.6
CFHR2,1309.3
GGCX,104.6
COL18A1,548.3
ACAA2,981.1
AFM,932.0
ACADSB,349.2
HAAO,286.8
GCLC,147.6
FMO5,662.6
ALDH7A1,157.3
TTPA,160.0
CEBPA,190.1
DIO1,179.7
SELENOP,6077.3
MTHFS,247.1
HNMT,238.2
SULT1A1,221.4
GALK1,123.3
CYP2J2,141.8
ALDH3A2,279.3
HSD17B4,320.3
AKR1D1,413.9
RIDA,1488.9
SLC25A1,192.9
GYS2,168.6
UGT2B15,282.4
HMGCS2,2359.8
APOC4,607.5
TMBIM6,1748.2
INHBC,159.9
ADK,146.5
PCBD1,415.8
CYP4F2,161.6
ABAT,335.3
RBP5,316.3
MAT1A,1305.8
SORD,262.8
ALDH6A1,355.6
CYP27A1,576.0
BDH1,313.1
CYP4A11,824.3
CFHR1,2010.5
AOX1,864.2
CRYZ,274.1
