Gene,liver_nTPM_value
C1orf226,21.4
PALM3,54.4
GLTPD2,72.0
APOL1,174.5
AGPAT2,434.1
KMO,88.8
CYP26A1,17.4
SLC25A20,143.9
SLC37A4,136.5
UGDH,133.5
ERLIN1,110.6
ABCB11,78.1
H6PD,92.1
VNN1,212.1
CLDN1,300.6
ASS1,1978.3
SERPINA3,8942.3
APOC2,9320.5
CRP,9151.6
LRG1,920.6
FN1,1674.5
FTL,14070.0
MT2A,5644.8
HMGCR,102.6
A1BG,1194.2
ASL,386.7
MT1A,420.0
MT1E,1743.2
MT1F,548.2
ARG1,1166.8
HPN,845.2
FABP1,12622.4
ASGR1,1065.6
C8G,550.5
MET,41.6
FBP1,849.4
GSTM1,590.7
SAA2,35358.8
MGST1,3006.2
CYP2D6,312.1
TFPI,263.9
NAT2,124.6
ALAS1,532.3
MT1G,6693.8
FDPS,344.6
POR,303.8
TAT,1233.9
GPX2,561.9
LBP,1304.6
SDC1,472.9
UGT1A6,139.1
SDS,999.5
PZP,79.0
HNF1A,10.9
EFNA1,461.3
C4BPB,458.6
ABCB4,119.4
AADAC,917.3
GLDC,169.3
MST1,905.4
ABCD3,122.8
HSD11B1,938.4
DDT,815.7
GCHFR,341.6
PPP2R1B,166.5
AGTR1,93.7
CPS1,1031.6
SDC4,398.7
GBP1,85.5
CTH,119.2
SHMT2,177.8
CA5A,23.5
PCK1,664.7
NNMT,379.3
HNF4A,114.2
HAL,193.3
GCGR,165.5
LEPR,126.5
GCLM,47.0
MASP1,178.0
TDO2,767.4
KHK,179.8
AKR1C2,469.5
MTTP,258.5
GSTO1,636.8
MT1H,1109.0
HMGCS1,379.0
DHODH,103.2
CFHR3,381.0
MVK,56.7
HGFAC,211.9
AKR1C1,603.1
ITIH3,828.4
SULT2A1,1043.0
FGL1,4058.4
GCKR,133.1
PTGR1,576.1
SLC39A14,537.7
FCN2,96.6
MSMO1,558.3
UAP1,97.4
KYNU,85.7
EXOC3L4,40.1
SHROOM1,114.0
LACTB2,93.0
TTC38,227.9
GRTP1,81.8
PXDC1,164.6
AFMID,169.0
CREB3L3,405.1
GRAMD4,164.1
SLC25A25,133.2
UGT3A1,56.2
ARMC6,107.9
APOA5,567.7
NAPRT,61.5
FRRS1,27.7
GOLT1A,186.0
ACAD11,100.5
SLC46A3,93.1
ADGRG6,69.7
ACOT1,43.2
ASPG,147.4
OAF,387.0
RTN4RL2,39.7
PROSER2,40.0
PPP1R3B,140.3
ECHDC2,170.1
RAB43,45.8
SLC13A5,403.8
NAGS,47.0
SLC66A2,180.9
MT1M,548.4
TMEM86B,16.3
ACOT4,16.2
SLC43A3,143.2
NSUN6,59.3
TSKU,230.2
OIT3,107.5
LPIN2,146.5
PROX1,84.2
ABCC2,118.0
HGD,729.7
ISOC2,277.3
DCPS,49.1
MOCOS,15.6
SDSL,102.1
SEC16B,40.0
FAM20A,49.0
NR1H4,116.9
PLIN2,877.8
SIGMAR1,182.9
MGST2,380.5
VKORC1,443.7
AGMAT,60.1
TTPAL,28.0
SELENOO,27.2
APOL6,45.1
HSD3B7,133.1
CLEC4M,60.8
ACSS3,38.8
EVA1A,185.1
CDHR5,126.6
SEPSECS,25.3
MLXIPL,595.0
IL1RAP,218.9
RPRD1B,70.7
SLC2A9,20.7
DECR2,161.0
SHFL,73.8
MSRB1,228.5
IGSF9,24.2
DHCR7,157.1
SEC14L4,18.7
CIDEB,464.9
DNAJC12,65.4
ACSL5,165.4
MGAT4B,270.4
ST3GAL6,40.8
RCL1,238.1
MMACHC,16.8
SLC25A15,85.5
SLC30A1,83.6
