Gene,liver_nTPM_value
ESPN,125.7
PHYH,647.3
SLC31A1,104.2
UGT1A9,190.3
ECI2,409.6
BBOX1,127.9
AKR7A3,150.8
GOT2,311.8
SERPINA5,761.5
PCCB,195.7
FH,262.0
QDPR,190.7
CLU,9442.3
ACADM,356.4
ALAD,203.4
ETFA,253.9
IGFBP3,693.4
AZGP1,2718.3
PBLD,324.3
PEBP1,2019.1
ACSL1,1108.8
ETFB,481.4
GATM,2717.9
ACY1,266.7
GAMT,600.1
GNMT,287.5
QPRT,179.0
DHCR24,604.8
ETFDH,154.4
DECR1,265.6
UGP2,832.1
SLC39A5,167.0
LDHD,132.2
CLYBL,103.5
CMBL,166.8
MMAB,101.1
REEP6,388.3
PCYT2,161.7
C11orf54,250.6
GBA3,218.9
CIAO2A,254.3
PEMT,260.8
CRYL1,246.3
