Gene,RNA tissue specific nTPM,liver_nTPM_value,Tissue expression cluster,RNA tissue cell type enrichment,has_liver_nTPM_high,has_liver_nTPM_low,has_liver_cluster,has_liver_enrichment,Classification,has_liver_in_ntpm,confidence_score,confidence_class,recommended_tier
,,,,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
NUDT4B,,,Cluster 56: Non-specific - Unknown function,,False,False,False,False,non-liver protein,False,0,Low Confidence / Non-liver,Not recommended
IGKV3-7,intestine: 18.0;lymphoid tissue: 21.5;salivary gland: 15.4,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV4-69,intestine: 417.3;lymphoid tissue: 446.6;salivary gland: 112.8;stomach 1: 277.5;urinary bladder: 197.4,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV8-61,intestine: 781.2;lymphoid tissue: 951.8,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV4-60,intestine: 187.1;lymphoid tissue: 113.2;urinary bladder: 179.2,,,"Breast - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV7-46,intestine: 385.9;lymphoid tissue: 444.8;stomach 1: 243.4;urinary bladder: 428.8,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV3-10,intestine: 305.5;lymphoid tissue: 684.8;stomach 1: 280.3,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGLV3-9,lymphoid tissue: 304.0;stomach 1: 113.8,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
IGKV2-28,intestine: 1053.8;lymphoid tissue: 1733.5,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,True,liver protein (enrichment only),False,25,Low-Medium Confidence,Not recommended
